Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),DEPTH
AAVE_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$16.7K / $16.7K
AxCNH_USDT,CHECKED,00:33:45,A4:MEDIUM,CHECKED,04:48:22,A4:MEDIUM,CHECKED,07:37:42,A4:MEDIUM,CHECKED,10:19:40,A4:MEDIUM,CHECKED,11:52:50,A4:MEDIUM,CHECKED,13:18:04,A4:MEDIUM,CHECKED,15:11:12,A4:MEDIUM,CHECKED,16:37:11,A4:MEDIUM,CHECKED,18:31:05,A4:MEDIUM,CHECKED,19:18:32,A4:MEDIUM,CHECKED,20:43:26,A4:MEDIUM,CHECKED,22:16:08,A4:MEDIUM,$272 / $301
ADA_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$32.6K / $41.7K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,WARNING,20:43:26,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,22:16:08,A4:MEDIUM,$4.2K / $5.7K
BNB_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,A2:HIGH,$39.7K / $39.7K
BONK_USDT,CHECKED,00:33:45,A4:MEDIUM,CHECKED,04:48:22,,CHECKED,07:37:42,A4:MEDIUM,CHECKED,10:19:40,A4:MEDIUM,CHECKED,11:52:50,A4:MEDIUM,CHECKED,13:18:04,A4:MEDIUM,CHECKED,15:11:12,A4:MEDIUM,CHECKED,16:37:11,A4:MEDIUM,CHECKED,18:31:05,,CHECKED,19:18:32,A4:MEDIUM,CHECKED,20:43:26,,CHECKED,22:16:08,A4:MEDIUM,$5.0K / $5.4K
BTC_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,A2:HIGH,$1.20M / $1.31M
CAKE_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$39.0K / $48.6K
CFX_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$11.6K / $12.8K
DASH_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$24.1K / $25.5K
DOT_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,A2:HIGH,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,,CHECKED,22:16:08,,$9.2K / $9.8K
DOGE_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,WARNING,20:43:26,A2:HIGH,CHECKED,22:16:08,,$16.5K / $22.6K
ETH_USDT,CHECKED,00:33:45,,CHECKED,04:48:22,,CHECKED,07:37:42,,CHECKED,10:19:40,,CHECKED,11:52:50,,CHECKED,13:18:04,,CHECKED,15:11:12,,CHECKED,16:37:11,,CHECKED,18:31:05,,CHECKED,19:18:32,,CHECKED,20:43:26,A2:HIGH,CHECKED,22:16:08,,$127.3K / $127.3K
